Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
201900038393,8,6,2019,13:25,1,75,75118,2,1,1,2,PORTE DE CLIGNANCOURT,48,
201900038394,20,6,2019,18:00,1,75,75115,2,1,1,6,RUE ANDRE GIDE,48,
201900038395,20,6,2019,16:16,1,75,75117,2,3,1,6,AVENUE DE SAINT OUEN,48,
201900038396,19,6,2019,16:30,1,75,75113,2,3,1,6,RUE LIARD,48,
201900038397,19,6,2019,16:19,1,75,75104,2,3,1,6,RUE SAINT ANTOINE,48,
201900038398,17,6,2019,23:20,4,75,75118,2,4,1,6,ECHANGEUR CHAPELLE,48,
201900038399,12,6,2019,3:00,5,75,75119,2,4,1,6,BOULEVARD PERIPHERIQUE,48,
201900038400,7,6,2019,2:20,5,75,75120,2,4,1,4,BOULEVARD PERIPHERIQUE,48,
201900038401,20,6,2019,19:15,1,75,75106,2,3,7,6,RUE DU VIEUX COLOMBIER,48,
201900038402,21,6,2019,18:45,1,75,75120,2,3,1,6,RUE DE BELLEVILLE,48,
201900038403,20,6,2019,16:40,1,75,75120,2,1,1,6,RUE DES PYRENEES,48,
201900038404,21,6,2019,13:00,1,75,75119,2,1,1,6,BOULEVARD SERURIER,48,
201900038405,14,6,2019,19:20,1,75,75119,2,1,1,6,PORTE DE PANTIN,48,
201900038406,22,6,2019,19:15,1,75,75118,2,2,1,6,RUE ORDENER,48,
201900038407,22,6,2019,12:55,1,75,75102,2,3,1,7,RUE DES PETITS CARREAUX,48,
201900038408,22,6,2019,2:15,5,75,75105,2,1,1,6,QUAI DE LA TOURNELLE,48,
201900038409,21,6,2019,16:27,1,75,75118,2,2,1,6,BOULEVARD BARBES,48,
201900038410,21,6,2019,20:00,1,75,75116,2,1,1,4,AVENUE D IENA,48,
201900038411,20,6,2019,18:30,1,75,75117,2,4,1,7,AVENUE DE CLICHY,48,
201900038412,20,6,2019,21:20,2,75,75117,2,2,1,6,RUE DE ROME,48,
201900038413,20,6,2019,8:10,1,75,75117,2,4,2,6,AVENUE MAC MAHON,48,
201900038414,13,6,2019,13:25,1,75,75117,2,3,1,3,RUE PIERRE DEMOURS,48,
201900038415,22,6,2019,21:00,1,75,75116,2,3,1,6,AVENUE DU PRESIDENT KENNEDY,48,
201900038416,21,6,2019,11:55,1,75,75108,2,2,1,6,RUE DE COURCELLES,48,
201900038417,20,6,2019,15:10,1,75,75116,2,2,1,6,RUE DE BASSANO,48,
201900038418,20,6,2019,9:45,1,75,75116,2,1,1,5,AVENUE MOZART,48,
201900038419,3,6,2019,23:15,5,75,75116,2,1,1,6,ROUTE DE LA MUETTE A NEUILLY,48,
201900038420,22,6,2019,1:50,5,75,75115,2,3,1,7,RUE DE VAUGIRARD,48,
201900038421,21,6,2019,9:30,1,75,75107,2,3,1,3,PONT D IENA,48,
201900038422,20,6,2019,12:30,1,75,75115,2,3,1,7,RUE DU THEATRE,48,
201900038423,20,6,2019,14:15,1,75,75114,2,1,1,2,BOULEVARD BRUNE,48,
201900038424,20,6,2019,8:55,1,75,75114,2,1,2,6,BOULEVARD ARAGO,48,
201900038425,19,6,2019,13:45,1,75,75114,2,3,1,5,RUE D ALESIA,48,
201900038426,21,6,2019,19:30,1,75,75113,2,3,1,2,RUE BOBILLOT,48,
201900038427,21,6,2019,18:30,1,75,75113,2,3,1,1,AVENUE DES GOBELINS,48,
201900038428,21,6,2019,17:40,1,75,75105,2,2,1,3,BOULEVARD DE PORT ROYAL,48,
201900038429,20,6,2019,15:45,1,75,75113,2,1,1,6,RUE DE LA COLONIE,48,
201900038430,20,6,2019,11:30,1,75,75113,2,1,1,6,RUE DUNOIS,48,
201900038431,20,6,2019,9:20,1,75,75113,2,4,8,3,RUE DU VAL DE MARNE,48,
201900038432,21,6,2019,17:00,1,75,75112,2,7,1,6,PLACE FELIX EBOUE,48,
201900038433,21,6,2019,7:00,1,75,75112,2,1,1,3,RUE DE CHARENTON,48,
201900038434,20,6,2019,20:30,1,75,75112,2,2,8,3,AVENUE DAUMESNIL,48,
201900038435,20,6,2019,11:30,1,75,75112,2,7,1,3,AVENUE DE LA PORTE DE VINCENNES,48,
201900038436,20,6,2019,10:17,1,75,75112,2,2,2,3,AVENUE LEDRU ROLLIN,48,
201900038437,20,6,2019,8:15,1,75,75112,2,1,1,3,QUAI DE BERCY,48,
201900038438,21,6,2019,19:30,1,75,75111,2,1,1,3,BOULEVARD VOLTAIRE,48,
201900038439,21,6,2019,16:17,1,75,75111,2,3,1,3,RUE DE LA FOLIE REGNAULT,48,
201900038440,20,6,2019,16:50,1,75,75111,2,5,1,3,BOULEVARD DE MENILMONTANT,48,
201900038441,20,6,2019,13:15,1,75,75111,2,4,1,6,BOULEVARD RICHARD LENOIR,48,
201900038442,20,6,2019,9:10,1,75,75111,2,3,8,3,RUE DE CHARONNE,48,
201900038443,22,6,2019,19:20,1,75,75109,2,2,1,3,RUE LA FAYETTE,48,
201900038444,22,6,2019,18:00,1,75,75116,2,3,2,3,ALLEE DU BORD DE L EAU,48,
201900038445,21,6,2019,18:39,1,75,75108,2,3,1,3,AVENUE DE FRIEDLAND,48,
201900038446,21,6,2019,15:40,1,75,75108,2,7,1,7,PLACE DE LA CONCORDE,48,
201900038447,21,6,2019,7:55,1,75,75108,2,2,1,1,AVENUE MARCEAU,48,
201900038448,21,6,2019,8:05,1,75,75108,2,7,1,4,BOULEVARD MALESHERBES,48,
201900038449,21,6,2019,23:30,5,75,75115,2,2,1,3,RUE DE LA CONVENTION,48,
201900038450,21,6,2019,9:35,1,75,75107,2,3,1,3,QUAI D ORSAY,48,
201900038451,21,6,2019,21:30,2,75,75103,2,1,1,6,RUE NOTRE DAME DE NAZARETH,48,
201900038452,20,6,2019,17:15,1,75,75109,2,1,1,3,BOULEVARD DES ITALIENS,48,
201900038453,20,6,2019,9:30,1,75,75103,2,1,1,3,RUE DU TEMPLE,48,
